SA2_NAME,SA2_MAINCODE,Number of available beds,Population,Weekly_Earnings,No_of_Dwellings,No_of_employed_persons,No_of_tertiary_educated,Monthly_Mortgage_Repayment,Number_of_renters,No_of_indigenous_ppl
Koo Wee Rup,212011290,9.0,7666.0,2325.0,2876.0,3541,401.0,976.0,486,4
Korora - Emerald Beach,104021088,271.6,9011.0,2686.0,3714.0,4013,1496.0,966.0,718,7
Korumburra,205031089,15.0,9253.0,3253.0,4113.0,4012,811.0,1253.0,615,4
Kowen,801031032,45.7,38.0,12.0,13.0,13,3.0,4.0,5,0
Kulin,509031247,86.19999999999999,4401.0,1750.0,2455.0,2291,390.0,341.0,487,12
Kununurra,510011265,37.0,7480.0,2265.0,4164.0,3238,782.0,367.0,1554,28
Kurrajong Heights - Ebenezer,115031300,96.5,22476.0,6697.0,7593.0,11418,2641.0,3480.0,809,12
Kurri Kurri - Abermain,106011111,64.1,17967.0,6017.0,7152.0,6877,740.0,2221.0,1802,20
Kyabram,216011407,145.0,11034.0,4051.0,4737.0,4584,812.0,1371.0,948,6
Kyneton,202021030,24.0,9782.0,3324.0,4405.0,4291,1579.0,1233.0,697,0
Kyogle,112021247,370.0,7464.0,2936.0,3621.0,2658,692.0,838.0,660,8
Labrador,309031238,862.0,19002.0,6952.0,8939.0,7719,2317.0,1758.0,3872,11
Lake Munmorah - Mannering Park,102021050,324.5,10925.0,4124.0,4924.0,3956,643.0,1261.0,735,8
Lamb Range,306021150,652.0,0.0,0.0,0,0,0.0,0.0,0,0
Lambton - New Lambton,111031225,860.5,17040.0,6485.0,7255.0,7987,3525.0,2170.0,1947,8
Lane Cove - Greenwich,121011400,843.4,27938.0,8752.0,11089.0,13706,10827.0,2936.0,2901,3
Lara,203021043,39.0,18587.0,5180.0,6512.0,8334,1874.0,2387.0,1235,15
Larapinta,702011048,319.0,5241.0,1620.0,2059.0,2530,767.0,729.0,677,23
Largs Bay - Semaphore,404021099,36.0,14824.0,5940.0,7055.0,7332,2487.0,2168.0,1934,4
Latrobe,604021087,95.0,4597.0,1628.0,2040.0,1858,278.0,549.0,473,3
Launceston,602011038,404.0,5281.0,2163.0,2748.0,2446,1338.0,597.0,905,0
Lawson,801011018,278.0,146.0,0.0,59.0,60,47.0,0.0,15,0
Lawson - Hazelbrook - Linden,124011453,17.9,11514.0,4121.0,4761.0,5346,2363.0,1999.0,644,8
Le Hunte - Elliston,406011132,19.0,2317.0,896.0,1485.0,1126,181.0,188.0,236,0
Leeton,113011258,63.0,10307.0,3405.0,4301.0,4264,773.0,1110.0,1045,4
Leichhardt - One Mile,310031291,439.0,7879.0,2347.0,3205.0,2578,376.0,722.0,1350,6
Leinster - Leonora,511031283,11.4,4939.0,1026.0,1791.0,1771,293.0,43.0,817,21
Lenah Valley - Mount Stuart,601051028,604.0,8516.0,3318.0,3719.0,4297,2390.0,1245.0,778,6
Lennox Head - Skennars Head,112011242,69.8,8088.0,2672.0,3420.0,3793,1752.0,954.0,652,4
Leongatha,205031090,37.0,11202.0,3951.0,4918.0,4781,1181.0,1350.0,815,10
Lesmurdie - Bickley - Carmel,506051141,22.0,11982.0,3724.0,4233.0,5225,1900.0,1594.0,423,3
Lethbridge Park - Tregear,116031316,109.5,21283.0,5041.0,7131.0,7070,1661.0,1396.0,2923,11
Leumeah - Minto Heights,123021441,451.8,16962.0,5603.0,6162.0,7578,1757.0,2298.0,1675,7
Light,405011111,49.0,9187.0,2994.0,3671.0,4278,800.0,1389.0,517,0
Lilli Pilli - Port Hacking - Dolans Bay,128011605,344.9,0,0,1052.0,1683,751.0,0,65,0
Lilydale - Coldstream,211051278,16.0,19448.0,6370.0,7437.0,9332,2194.0,2888.0,1274,11
Lismore,112021248,296.0,15641.0,6188.0,7059.0,6029,2074.0,1753.0,2262,15
Lismore Region,112021249,296.0,15415.0,5376.0,6551.0,6807,2546.0,1939.0,981,18
Lithgow,103031070,77.7,13040.0,4858.0,5990.0,4523,885.0,1394.0,1524,9
Lithgow Region,103031071,260.5,8435.0,2923.0,3728.0,3279,640.0,1035.0,431,9
Little Grove - Elleker,509011232,128.0,3703.0,1062.0,1454.0,1547,441.0,360.0,209,3
Liverpool,127031598,821.7,0,0,10089.0,8515,3263.0,0,4757,0
Lockington - Gunbower,216011408,106.0,3855.0,1316.0,1674.0,1810,278.0,497.0,231,4
Lockyer Valley - East,310021280,37.0,20295.0,6039.0,7701.0,7577,1159.0,2514.0,1527,45
Lockyer Valley - West,317011451,22.0,11551.0,3347.0,4298.0,5233,1088.0,1437.0,639,17
Loddon,202031033,39.0,7098.0,2853.0,3919.0,2638,490.0,688.0,472,7
Loganlea,311051326,445.0,10863.0,2974.0,3703.0,4137,855.0,1017.0,1670,41
